epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,474.008,1.12655,0.72882,1.33179,0.8984,0.82531,0.88171,0.56067,1.32159,0.76514,1.66171,0.0011684,0.0011684,0.0011684
44,485.344,1.07335,0.69535,1.2928,0.93884,0.89333,0.94899,0.62129,1.23028,0.66124,1.55509,0.0011486,0.0011486,0.0011486
45,496.409,1.08834,0.67693,1.31075,0.944,0.89907,0.93959,0.62242,1.23679,0.62591,1.5455,0.0011288,0.0011288,0.0011288
46,507.605,1.06437,0.67294,1.29147,0.90945,0.9,0.92068,0.61127,1.19748,0.66286,1.54171,0.001109,0.001109,0.001109
47,518.613,1.06499,0.65237,1.30058,0.96904,0.89333,0.93787,0.6165,1.19401,0.61142,1.49485,0.0010892,0.0010892,0.0010892
48,529.567,1.06965,0.6604,1.29274,0.95591,0.90667,0.95349,0.64605,1.14053,0.61803,1.49381,0.0010694,0.0010694,0.0010694
49,540.688,1.04906,0.66921,1.30221,0.95527,0.86667,0.92238,0.61939,1.21994,0.65283,1.54752,0.0010496,0.0010496,0.0010496
50,551.764,1.06504,0.6522,1.28792,0.90458,0.88476,0.91186,0.61204,1.23542,0.67119,1.55741,0.0010298,0.0010298,0.0010298
51,563.03,1.03754,0.64092,1.28059,0.94806,0.85333,0.93115,0.61127,1.25393,0.62495,1.57798,0.00101,0.00101,0.00101
52,574.069,1.068,0.6545,1.2995,0.90222,0.92268,0.92363,0.62391,1.22828,0.66377,1.54431,0.0009902,0.0009902,0.0009902
53,585.138,1.05232,0.65651,1.28459,0.87829,0.90667,0.92293,0.61145,1.2106,0.63612,1.52175,0.0009704,0.0009704,0.0009704
54,596.199,1.04275,0.62049,1.27344,0.91741,0.88864,0.91516,0.61347,1.28095,0.66954,1.59221,0.0009506,0.0009506,0.0009506
55,607.459,1.0202,0.6158,1.26676,0.91866,0.90359,0.93177,0.62231,1.23848,0.67043,1.56126,0.0009308,0.0009308,0.0009308
56,618.643,1.0302,0.63566,1.26844,0.92339,0.88396,0.91523,0.62999,1.17174,0.66761,1.50039,0.000911,0.000911,0.000911
57,629.856,1.02343,0.61936,1.26089,0.93286,0.9263,0.9422,0.65282,1.18764,0.57011,1.52274,0.0008912,0.0008912,0.0008912
58,640.994,1.01083,0.61449,1.25879,0.90715,0.92667,0.92718,0.63615,1.1631,0.61607,1.48501,0.0008714,0.0008714,0.0008714
59,652.27,0.99822,0.61478,1.24318,0.93672,0.88815,0.92465,0.63011,1.17593,0.61459,1.4972,0.0008516,0.0008516,0.0008516
60,663.269,1.01705,0.60316,1.26272,0.94258,0.89333,0.93395,0.63805,1.18735,0.55765,1.51474,0.0008318,0.0008318,0.0008318
61,674.389,1.01742,0.60595,1.26071,0.95115,0.88667,0.94769,0.63889,1.18423,0.58117,1.5282,0.000812,0.000812,0.000812
62,685.404,1.00308,0.59327,1.259,0.96836,0.9,0.94721,0.64588,1.16952,0.54751,1.49363,0.0007922,0.0007922,0.0007922
63,696.414,0.99127,0.5945,1.24955,0.92887,0.92667,0.94634,0.66258,1.153,0.54219,1.48112,0.0007724,0.0007724,0.0007724
