epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,193.825,0.72635,0.58947,1.33245,0.98275,0.95161,0.98612,0.7361,0.9266,0.55099,1.64469,0.0011882,0.0011882,0.0011882
43,198.146,0.68538,0.58145,1.31809,0.9665,0.93084,0.97493,0.74121,0.94565,0.58872,1.6769,0.0011684,0.0011684,0.0011684
44,202.56,0.66887,0.57587,1.29849,0.96475,0.95161,0.95965,0.75396,0.87671,0.54686,1.5923,0.0011486,0.0011486,0.0011486
45,206.787,0.72865,0.61128,1.3441,0.98099,0.90323,0.96326,0.68928,1.01614,0.60028,1.74236,0.0011288,0.0011288,0.0011288
46,210.988,0.68307,0.57153,1.31241,0.96755,0.96774,0.96698,0.75838,0.8346,0.51691,1.5047,0.001109,0.001109,0.001109
47,215.209,0.6903,0.59642,1.30237,0.98263,0.96774,0.97449,0.72969,0.94415,0.53923,1.66192,0.0010892,0.0010892,0.0010892
48,219.471,0.68493,0.57364,1.32372,0.96445,0.95161,0.95263,0.72364,0.94901,0.53634,1.73523,0.0010694,0.0010694,0.0010694
49,223.829,0.66094,0.53575,1.28168,0.94457,0.91935,0.97636,0.72904,0.89524,0.55362,1.5928,0.0010496,0.0010496,0.0010496
50,228.09,0.69059,0.57646,1.3292,0.98354,0.96395,0.96644,0.75004,0.91405,0.52072,1.62149,0.0010298,0.0010298,0.0010298
51,232.339,0.68341,0.55841,1.30738,0.93741,0.96636,0.97694,0.71397,0.94963,0.57177,1.67444,0.00101,0.00101,0.00101
52,236.653,0.66095,0.55207,1.29511,0.92299,0.96658,0.97723,0.70782,0.99773,0.627,1.72425,0.0009902,0.0009902,0.0009902
53,240.894,0.6594,0.55218,1.28443,0.96604,0.91775,0.95972,0.70372,0.90865,0.60323,1.63175,0.0009704,0.0009704,0.0009704
54,245.225,0.65196,0.55429,1.28444,0.93664,0.95382,0.97773,0.73762,0.87402,0.51427,1.58538,0.0009506,0.0009506,0.0009506
55,249.564,0.68587,0.55807,1.2994,0.94853,0.89176,0.95577,0.70954,0.92144,0.58284,1.65655,0.0009308,0.0009308,0.0009308
56,253.814,0.66388,0.54092,1.28843,0.9773,0.96774,0.98486,0.73214,0.81747,0.527,1.51669,0.000911,0.000911,0.000911
57,258.107,0.65921,0.53449,1.30179,0.94659,0.98387,0.98145,0.75049,0.81896,0.54271,1.52936,0.0008912,0.0008912,0.0008912
58,262.379,0.67268,0.55101,1.28891,0.90859,0.96192,0.9718,0.71518,0.84628,0.5664,1.52385,0.0008714,0.0008714,0.0008714
59,266.656,0.64074,0.53758,1.27626,0.97981,0.96774,0.9711,0.76602,0.87498,0.50672,1.60405,0.0008516,0.0008516,0.0008516
60,270.956,0.62188,0.52247,1.25186,0.93828,0.98079,0.9821,0.7577,0.88147,0.51462,1.54015,0.0008318,0.0008318,0.0008318
61,275.263,0.64109,0.51831,1.28495,0.9668,0.93957,0.98477,0.74661,0.87347,0.54791,1.5632,0.000812,0.000812,0.000812
62,279.508,0.64584,0.52411,1.2648,0.95208,0.9615,0.97355,0.74726,0.81524,0.55198,1.50772,0.0007922,0.0007922,0.0007922
63,283.835,0.6107,0.50039,1.2488,0.96808,0.98387,0.9824,0.74777,0.79123,0.51277,1.4906,0.0007724,0.0007724,0.0007724
64,288.053,0.62712,0.52422,1.25455,0.92165,0.94864,0.97272,0.72315,0.93405,0.51574,1.69845,0.0007526,0.0007526,0.0007526
65,292.253,0.63368,0.52529,1.26447,0.95602,0.95161,0.98802,0.75122,0.88845,0.51399,1.67128,0.0007328,0.0007328,0.0007328
66,296.531,0.60415,0.50667,1.23629,0.96239,0.96774,0.98751,0.75746,0.85271,0.49447,1.59005,0.000713,0.000713,0.000713
67,300.795,0.61368,0.50016,1.25264,0.97754,0.98387,0.98561,0.78057,0.78525,0.46851,1.49392,0.0006932,0.0006932,0.0006932
68,305.072,0.59809,0.4808,1.24732,0.99933,0.98387,0.98722,0.80081,0.77714,0.45381,1.48879,0.0006734,0.0006734,0.0006734
69,309.318,0.58218,0.47573,1.23461,0.98383,0.98165,0.9896,0.75893,0.78977,0.49811,1.49007,0.0006536,0.0006536,0.0006536
70,313.618,0.61378,0.47687,1.24073,0.98385,0.98262,0.98855,0.78006,0.83975,0.49186,1.57446,0.0006338,0.0006338,0.0006338
71,317.912,0.58112,0.47335,1.21184,0.99929,0.98387,0.99034,0.77923,0.79872,0.48337,1.51975,0.000614,0.000614,0.000614
72,322.196,0.59434,0.47884,1.2502,0.99726,0.98387,0.98784,0.7687,0.85403,0.4704,1.57977,0.0005942,0.0005942,0.0005942
73,326.408,0.5719,0.47421,1.24009,0.95485,0.98387,0.98135,0.78513,0.80305,0.48111,1.5023,0.0005744,0.0005744,0.0005744
