epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5900.83,0.90083,0.83827,1.26653,0.94508,0.91519,0.95317,0.77675,0.81716,0.54592,1.19314,0.005842,0.005842,0.005842
44,6032.79,0.90007,0.83608,1.2656,0.94579,0.91679,0.95192,0.77638,0.81515,0.54712,1.18926,0.005743,0.005743,0.005743
45,6164.89,0.89954,0.83513,1.26318,0.95209,0.9108,0.95407,0.77679,0.81189,0.54259,1.18589,0.005644,0.005644,0.005644
46,6297.94,0.89387,0.82859,1.2602,0.95628,0.90947,0.9559,0.77958,0.80629,0.53762,1.18145,0.005545,0.005545,0.005545
47,6429.26,0.89516,0.82613,1.26051,0.95508,0.91075,0.95537,0.78107,0.80293,0.53015,1.17669,0.005446,0.005446,0.005446
48,6561.51,0.87817,0.81356,1.24982,0.95553,0.91246,0.95557,0.78302,0.79633,0.52954,1.16982,0.005347,0.005347,0.005347
49,6693.26,0.87829,0.8039,1.25283,0.96046,0.91297,0.9564,0.78454,0.79277,0.52824,1.16601,0.005248,0.005248,0.005248
50,6825.29,0.88711,0.80839,1.25392,0.96104,0.91122,0.95707,0.78528,0.78924,0.52845,1.16307,0.005149,0.005149,0.005149
51,6956.79,0.87771,0.79126,1.24552,0.95918,0.91519,0.95707,0.7871,0.78777,0.52606,1.16092,0.00505,0.00505,0.00505
52,7088.53,0.87266,0.79104,1.2432,0.95724,0.91586,0.95695,0.78943,0.78189,0.51942,1.15535,0.004951,0.004951,0.004951
53,7219.38,0.86709,0.78937,1.24085,0.95821,0.91434,0.95716,0.79071,0.77822,0.51337,1.15217,0.004852,0.004852,0.004852
54,7350.69,0.86841,0.78976,1.24405,0.96088,0.91498,0.95839,0.78985,0.77955,0.51017,1.15368,0.004753,0.004753,0.004753
55,7483,0.86512,0.77763,1.23922,0.96411,0.91528,0.95908,0.79011,0.77736,0.50676,1.15247,0.004654,0.004654,0.004654
56,7616.07,0.8634,0.76816,1.23397,0.9639,0.91624,0.96041,0.79185,0.77558,0.50495,1.15026,0.004555,0.004555,0.004555
57,7748.59,0.85343,0.7651,1.23336,0.96102,0.91803,0.95986,0.79529,0.77328,0.50156,1.14884,0.004456,0.004456,0.004456
58,7883.15,0.85278,0.76088,1.23149,0.96002,0.91855,0.95982,0.79611,0.77152,0.50014,1.14775,0.004357,0.004357,0.004357
59,8015.68,0.84894,0.76037,1.22892,0.95976,0.91957,0.9601,0.79657,0.77151,0.49911,1.1474,0.004258,0.004258,0.004258
60,8147.69,0.84605,0.75343,1.22579,0.9583,0.92293,0.96033,0.79707,0.7711,0.49844,1.14669,0.004159,0.004159,0.004159
