epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3071.38,0.8771,0.80596,1.24864,0.92054,0.90706,0.94667,0.75872,0.83704,0.6204,1.21652,0.005842,0.005842,0.005842
44,3140.44,0.87812,0.79662,1.24283,0.92327,0.90456,0.9449,0.76361,0.83702,0.60873,1.2089,0.005743,0.005743,0.005743
45,3209.47,0.87568,0.80241,1.24906,0.93305,0.90154,0.95034,0.75972,0.85066,0.61066,1.22076,0.005644,0.005644,0.005644
46,3278.34,0.86591,0.77717,1.23981,0.9446,0.89408,0.95132,0.77523,0.82679,0.58853,1.21034,0.005545,0.005545,0.005545
47,3346.84,0.85847,0.77363,1.2369,0.93917,0.90652,0.95212,0.7666,0.83977,0.60505,1.21184,0.005446,0.005446,0.005446
48,3422.24,0.86777,0.7846,1.24072,0.94534,0.90835,0.9521,0.76775,0.84477,0.5961,1.20846,0.005347,0.005347,0.005347
49,3496.73,0.85228,0.7609,1.22839,0.9329,0.91491,0.95234,0.76792,0.82838,0.5885,1.1943,0.005248,0.005248,0.005248
50,3571.8,0.85297,0.76307,1.23181,0.93595,0.911,0.95042,0.77565,0.81953,0.59573,1.19187,0.005149,0.005149,0.005149
51,3649.16,0.84739,0.75808,1.22552,0.94105,0.92249,0.95438,0.77058,0.83382,0.58303,1.20279,0.00505,0.00505,0.00505
52,3721.73,0.84208,0.75508,1.22952,0.93552,0.92339,0.95661,0.77811,0.82081,0.56134,1.19281,0.004951,0.004951,0.004951
53,3794.18,0.84547,0.75422,1.22778,0.93989,0.91236,0.95339,0.77782,0.82203,0.59304,1.1933,0.004852,0.004852,0.004852
54,3868.7,0.84254,0.75567,1.22422,0.95013,0.9123,0.95778,0.77929,0.80909,0.57602,1.18567,0.004753,0.004753,0.004753
55,3944.41,0.83686,0.7431,1.21522,0.94886,0.92456,0.95497,0.77711,0.82636,0.55802,1.20132,0.004654,0.004654,0.004654
56,4018.71,0.83573,0.74178,1.21661,0.92664,0.93003,0.95519,0.77788,0.81581,0.55419,1.19447,0.004555,0.004555,0.004555
57,4095.14,0.83466,0.73535,1.21865,0.94973,0.9234,0.95938,0.77793,0.81284,0.5538,1.18736,0.004456,0.004456,0.004456
58,4167.22,0.8246,0.72277,1.21117,0.94497,0.91548,0.9577,0.77893,0.81367,0.56856,1.19379,0.004357,0.004357,0.004357
59,4239.7,0.82615,0.7191,1.20954,0.94829,0.92496,0.95712,0.77806,0.81165,0.56863,1.18935,0.004258,0.004258,0.004258
60,4308.52,0.82287,0.71161,1.209,0.94882,0.92209,0.95576,0.78255,0.79602,0.56795,1.17781,0.004159,0.004159,0.004159
61,4377.22,0.81158,0.70596,1.20327,0.95831,0.91679,0.95578,0.78093,0.80772,0.56392,1.17969,0.00406,0.00406,0.00406
62,4445.95,0.8141,0.70555,1.20159,0.94307,0.92032,0.95701,0.78789,0.80588,0.54487,1.17902,0.003961,0.003961,0.003961
63,4514.27,0.80935,0.68978,1.19804,0.93327,0.92019,0.95629,0.78857,0.80829,0.5411,1.18145,0.003862,0.003862,0.003862
64,4582.8,0.79784,0.68629,1.19414,0.948,0.92004,0.95916,0.78797,0.79868,0.54136,1.17848,0.003763,0.003763,0.003763
65,4656.73,0.8053,0.67907,1.1923,0.94956,0.92098,0.95917,0.78998,0.8026,0.54603,1.17315,0.003664,0.003664,0.003664
66,4727.3,0.79818,0.68398,1.19131,0.94113,0.92306,0.95826,0.78961,0.79914,0.54216,1.17087,0.003565,0.003565,0.003565
67,4796.77,0.8091,0.68223,1.19562,0.95117,0.91822,0.96054,0.79097,0.79573,0.54143,1.16671,0.003466,0.003466,0.003466
68,4865.6,0.8003,0.68779,1.19319,0.94396,0.92268,0.96193,0.79448,0.78292,0.52777,1.15558,0.003367,0.003367,0.003367
69,4933.99,0.7893,0.67144,1.1876,0.94851,0.92097,0.95841,0.78924,0.7917,0.52467,1.1648,0.003268,0.003268,0.003268
70,5001.93,0.785,0.67163,1.18304,0.95495,0.90943,0.95869,0.79131,0.7963,0.52807,1.16908,0.003169,0.003169,0.003169
71,5070.72,0.77821,0.65575,1.17901,0.95369,0.91321,0.95989,0.79129,0.78784,0.52476,1.16451,0.00307,0.00307,0.00307
72,5138.27,0.78386,0.65188,1.18242,0.95901,0.91161,0.96195,0.7927,0.77654,0.51939,1.15282,0.002971,0.002971,0.002971
73,5206.35,0.77024,0.6453,1.17272,0.95445,0.92295,0.9616,0.79489,0.7698,0.51949,1.14729,0.002872,0.002872,0.002872
74,5276.4,0.7679,0.64186,1.17387,0.94316,0.93089,0.96251,0.79697,0.775,0.51891,1.15052,0.002773,0.002773,0.002773
75,5344.83,0.76972,0.6405,1.17521,0.95539,0.92309,0.96446,0.80083,0.77132,0.50747,1.148,0.002674,0.002674,0.002674
76,5413.83,0.76875,0.63459,1.17218,0.95909,0.91802,0.96441,0.803,0.76664,0.50182,1.1418,0.002575,0.002575,0.002575
77,5482.74,0.76741,0.63457,1.16652,0.95148,0.93334,0.96465,0.80075,0.76693,0.49975,1.14033,0.002476,0.002476,0.002476
78,5549.54,0.75768,0.63446,1.16958,0.956,0.92533,0.96326,0.79943,0.76131,0.50105,1.13729,0.002377,0.002377,0.002377
79,5617.06,0.75427,0.62584,1.16012,0.95414,0.93408,0.9637,0.79988,0.76626,0.50084,1.143,0.002278,0.002278,0.002278
80,5686.54,0.74524,0.61429,1.15802,0.95014,0.93243,0.96414,0.80121,0.76166,0.50128,1.136,0.002179,0.002179,0.002179
81,5759.04,0.74394,0.61213,1.15576,0.95416,0.92281,0.96373,0.80169,0.75831,0.49729,1.13517,0.00208,0.00208,0.00208
82,5830.81,0.75223,0.61092,1.15753,0.95243,0.92574,0.96495,0.8031,0.75282,0.49253,1.12941,0.001981,0.001981,0.001981
83,5900.18,0.74236,0.61084,1.15313,0.9532,0.92347,0.96505,0.80391,0.75337,0.49297,1.13126,0.001882,0.001882,0.001882
84,5968.23,0.73757,0.59996,1.15036,0.9355,0.94059,0.96518,0.80383,0.75694,0.49192,1.13471,0.001783,0.001783,0.001783
85,6038.19,0.73828,0.60218,1.15126,0.96018,0.91537,0.96535,0.8034,0.75821,0.49039,1.13531,0.001684,0.001684,0.001684
86,6108.88,0.72425,0.59661,1.14751,0.93948,0.93591,0.96577,0.80698,0.75639,0.4907,1.13435,0.001585,0.001585,0.001585
87,6179.6,0.72525,0.57889,1.14534,0.93708,0.93877,0.96627,0.80538,0.7541,0.48566,1.13393,0.001486,0.001486,0.001486
88,6247.64,0.72524,0.58853,1.14703,0.94517,0.93713,0.96671,0.80598,0.75329,0.48591,1.13224,0.001387,0.001387,0.001387
89,6316.09,0.71445,0.58136,1.13659,0.94792,0.93427,0.96709,0.80702,0.75297,0.48553,1.13232,0.001288,0.001288,0.001288
90,6384.8,0.71311,0.58103,1.14076,0.95138,0.93083,0.96704,0.80719,0.75536,0.48659,1.13326,0.001189,0.001189,0.001189
91,6452.92,0.60777,0.39675,1.08844,0.94784,0.93783,0.96787,0.80834,0.75841,0.48191,1.13529,0.00109,0.00109,0.00109
92,6521.08,0.59433,0.37403,1.07205,0.9531,0.93502,0.96757,0.80659,0.75682,0.48007,1.13365,0.000991,0.000991,0.000991
93,6589.66,0.58442,0.37201,1.07108,0.94814,0.93842,0.96822,0.80754,0.7547,0.47695,1.13193,0.000892,0.000892,0.000892
94,6658.68,0.58304,0.37133,1.06934,0.94758,0.93812,0.96835,0.80854,0.75529,0.47615,1.13261,0.000793,0.000793,0.000793
95,6728.28,0.57109,0.36024,1.06103,0.95472,0.92909,0.96791,0.80876,0.75687,0.47607,1.13407,0.000694,0.000694,0.000694
96,6798.96,0.5691,0.34961,1.05432,0.93434,0.94503,0.96786,0.80977,0.75594,0.47817,1.13405,0.000595,0.000595,0.000595
97,6867.71,0.5616,0.34953,1.05238,0.94021,0.94381,0.96786,0.81035,0.7555,0.47994,1.13363,0.000496,0.000496,0.000496
98,6936.12,0.5595,0.34558,1.04882,0.93947,0.94725,0.96811,0.81153,0.75484,0.47889,1.13322,0.000397,0.000397,0.000397
99,7003.49,0.55368,0.34208,1.04753,0.9368,0.94761,0.96745,0.81017,0.75572,0.47837,1.13435,0.000298,0.000298,0.000298
100,7071.66,0.55152,0.34088,1.04493,0.93594,0.94793,0.96768,0.81034,0.75699,0.47837,1.13492,0.000199,0.000199,0.000199
