epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7771,1.43476,2.79798,1.84657,0.00352,1,0.39221,0.12008,1.16078,3.34188,2.09221,6e-05,6e-05,6e-05
2,48.9223,1.10149,2.64143,1.63558,0.00352,1,0.55968,0.23804,0.90378,3.29999,1.63098,9.38e-05,9.38e-05,9.38e-05
3,75.1651,1.02573,2.51005,1.63703,0.00352,1,0.58321,0.29688,0.88588,3.28101,1.60443,7.48e-05,7.48e-05,7.48e-05
